question_id,temperature,k_threads,n_non_empty,qpd_jaccard,q1,q2,q3,q4
gaia-135,1.5,4,4,0.511905,Winner of US version of Survivor born in May,winner of US version of Survivor born in May,US Survivor winners; born in May,US Survivor winners birthdates
gaia-135,2.0,4,2,0.571429,winners of US Survivor by birth month,,,US Survivor winners born in May
gaia-136,0.0,4,4,0.316468,Yankees player with most walks 1977 season,Yankee player most walks 1977 regular season,Yankees player with most walks in 1977 regular season,Yankee player with most walks 1977 regular season and their at bats
gaia-136,0.3,4,4,0.377315,Yankees player with most walks in 1977 regular season and their at bats,New York Yankees player with most walks in 1977 season,New York Yankees player with most walks 1977 season statistics,Yankees player with most walks in 1977 regular season and their at-bats
gaia-136,0.7,4,4,0.230159,Yankees player with most walks in 1977 regular season statistics,Yankees most walks 1977 season,Yankees player with the most walks in 1977 regular season,Yankees player with the most walks in 1977 regular season
gaia-136,1.0,4,4,0.333333,Yankees player with most walks in 1977 regular season and their at bats,New York Yankees player with most walks 1977 season stats at bats,1977 New York Yankees player with the most walks and at bats statistics,1977 New York Yankees player statistics walks at bats
gaia-136,1.5,4,4,0.436742,New York Yankees player with the most walks 1977 season,New York Yankees player with most walks 1977 regular season and at bats,most walks leader New York Yankees 1977 stats,Yankees player with the most walks in 1977 season and their at bats
gaia-136,2.0,4,0,,,,,
gaia-138,0.0,4,4,0.192308,Audre Lorde Father Son and Holy Ghost poem text analysis stanza indentation,Audre Lorde Father Son and Holy Ghost poem stanza indented lines,Audre Lorde Father Son and Holy Ghost poem stanza indented lines,Audre Lorde Father Son and Holy Ghost poem stanza indented lines
gaia-138,0.3,4,4,0.220960,Audre Lorde Father Son and Holy Ghost poem stanza indented lines,Audre Lorde Father Son and Holy Ghost poem analysis,Audre Lorde Father Son and Holy Ghost poem indented lines stanza number,Audre Lorde Father Son and Holy Ghost poem stanza indented lines
gaia-138,0.7,4,4,0.334887,Audre Lorde Father Son and Holy Ghost poem stanza indented lines,Audre Lorde Father Son and Holy Ghost poem stanza indented lines,Audre Lorde “Father Son and Holy Ghost” poem stanza indented lines,Audre Lorde Father Son and Holy Ghost poem text
gaia-138,1.0,4,4,0.436230,Audre Lorde Father Son and Holy Ghost poem stanza indented lines,Audre Lorde Father Son and Holy Ghost poem text,Audre Lorde Father Son and Holy Ghost poem text,"stanza with indented lines in Audre Lorde's poem ""Father Son and Holy Ghost"""
gaia-138,1.5,4,3,0.398990,"""Father Son and Holy Ghost Audre Lorde poem indented lines stanza""",Audre Lorde Father Son and Holy Ghost poem stanza with indented lines,Audre Lorde Father Son and Holy Ghost poem text,
gaia-138,2.0,4,0,,,,,
gaia-139,0.0,4,4,0.095238,2019 British Academy Games Awards winners,2019 British Academy Games Awards winners list,2019 British Academy Games Awards winners,2019 British Academy Games Awards winners list
gaia-139,0.3,4,4,0.071429,2019 British Academy Games Awards winners,2019 British Academy Games Awards winners,2019 British Academy Games Awards winners list,2019 British Academy Games Awards winners
gaia-139,0.7,4,4,0.407672,2019 BAFTA Games Awards winners,2019 British Academy Games Awards winners,2019 British Academy Games Awards winners,2019 British Academy Games Awards winner video game
gaia-139,1.0,4,4,0.125000,2019 British Academy Games Awards winners video game,2019 British Academy Games Awards winners,British Academy Games Awards 2019 winners,2019 British Academy Games Awards winners
gaia-139,1.5,4,4,0.318783,2019 British Academy Games Awards winners,2019 British Academy Games Awards winners best game,BAFTA Games Awards 2019 winners,2019 British Academy Games Awards winners
gaia-139,2.0,4,0,,,,,
gaia-141,0.0,4,4,0.000000,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org
gaia-141,0.3,4,4,0.000000,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org
gaia-141,0.7,4,4,0.200000,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,population of chinstrap penguins site:wikipedia.org,chinstrap penguin population site:wikipedia.org
gaia-141,1.0,4,4,0.333333,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,chinstrap penguin population site:wikipedia.org,penguin species populations site:wikipedia.org
gaia-141,1.5,4,4,0.549621,Penguin species populations Wikipedia: sum of chinstrap penguin population as of end of 2018.,chinstrap penguin population as of 2018 site:wikipedia.org,chinstrap penguin population site:wikipedia.org,penguin species populations chinstrap penguin site:wikipedia.org end of 2018
gaia-141,2.0,4,0,,,,,
gaia-145,0.0,4,2,0.200000,World of Warcraft classes list and roles,,World of Warcraft classes and their roles,
gaia-145,0.3,4,0,,,,,
gaia-145,0.7,4,2,0.625000,,,"World of Warcraft tank classes, healer classes, DPS classes",World of Warcraft classes and their roles
gaia-145,1.0,4,3,0.611111,World of Warcraft classes and their roles,,Possible class combinations for a 5-man group in WoW with the given roles and abilities.,World of Warcraft classes and their roles
gaia-145,1.5,4,2,0.833333,,"""world of warcraft tank healer kills classes types map""",,World of Warcraft current classes and their roles 2023
gaia-145,2.0,4,0,,,,,
gaia-146,0.0,4,4,0.000000,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen June 6 2023 site:universetoday.com
gaia-146,0.3,4,4,0.421936,Carolyn Collins Petersen June 6 2023 Universe Today article observations R. G. Arendt NASA award number,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen Universe Today June 6 2023 article,Carolyn Collins Petersen June 6 2023 site:universetoday.com
gaia-146,0.7,4,4,0.312500,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen June 6 2023 Universe Today article R. G. Arendt NASA award number,Carolyn Collins Petersen June 6 2023 site:universetoday.com
gaia-146,1.0,4,4,0.225000,article by Carolyn Collins Petersen June 6 2023 Universe Today,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen June 6 2023 site:universetoday.com,Carolyn Collins Petersen article June 6 2023 site:universetoday.com
gaia-146,1.5,4,4,0.435212,"article by Carolyn Collins Petersen June 6, 2023 site:universetoday.com",Rendezvous with Carolyn Collins Petersen article June 6 2023 site:universetoday.com,article by Carolyn Collins Petersen on June 6 2023 site:universetoday.com,Carolyn Collins Petersen Universe Today June 6 2023 observations NASA award R. G. Arendt
gaia-146,2.0,4,0,,,,,
gaia-147,0.0,4,4,0.000000,NeurIPS 2022 Conference accepted papers by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri with certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri with certain recommendation site:openreview.net
gaia-147,0.3,4,4,0.066667,NeurIPS 2022 Conference papers accepted by Yuri certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 Conference Yuri accepted papers certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri certain recommendation site:openreview.net
gaia-147,0.7,4,4,0.118519,NeurIPS 2022 Conference papers accepted by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 accepted papers by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 accepted papers Yuri certain recommendation site:openreview.net
gaia-147,1.0,4,4,0.263889,NeurIPS 2022 accepted papers Yuri site:openreview.net,NeurIPS 2022 Conference accepted papers by author Yuri certain recommendation site:openreview.net,NeurIPS 2022 Conference accepted papers author Yuri site:openreview.net,NeurIPS 2022 Conference accepted papers Yuri certain recommendation site:openreview.net
gaia-147,1.5,4,4,0.259259,NeurIPS 2022 accepted papers by Yuri with certain recommendation site:openreview.net,"NeurIPS 2022 Yuri accepted papers ""certain"" recommendation site:openreview.net",NeurIPS 2022 Conference site:openreview.net papers by Yuri with certain recommendation,site:openreview.net NeurIPS 2022 accepted papers author Yuri certain recommendation
gaia-147,2.0,4,0,,,,,
gaia-149,0.0,4,4,0.000000,2011 Bulgarian census gender split tertiary education statistics,2011 Bulgarian census gender split tertiary education statistics,2011 Bulgarian census gender split tertiary education statistics,2011 Bulgarian census gender split tertiary education statistics
gaia-149,0.3,4,4,0.083333,2011 Bulgarian census gender split tertiary education,2011 Bulgarian census gender split tertiary education,2011 Bulgarian census gender split tertiary education statistics,2011 Bulgarian census gender split tertiary education statistics
gaia-149,0.7,4,4,0.185185,2011 Bulgarian census gender split tertiary education statistics,2011 Bulgarian census gender split tertiary education completed,2011 Bulgarian census gender split tertiary education completed,2011 Bulgarian census gender split tertiary education completion
gaia-149,1.0,4,4,0.229630,2011 Bulgarian census gender split tertiary education statistics,2011 Bulgarian census gender split tertiary education completion statistics,2011 Bulgarian census gender split tertiary education data,2011 Bulgarian census gender split tertiary education completed
gaia-149,1.5,4,4,0.212879,2011 Bulgarian census gender split tertiary education completed,2011 Bulgarian census results tertiary education gender split men women,2011 Bulgarian census gender split tertiary education,gender split 2011 Bulgarian census completed tertiary education
gaia-149,2.0,4,0,,,,,
gaia-15,0.0,4,4,0.000000,density of honey and mayonnaise,density of honey and mayonnaise,density of honey and mayonnaise,density of honey and mayonnaise
gaia-15,0.3,4,4,0.333333,density of honey and mayonnaise,density of honey at 25C,density of honey and mayonnaise,density of honey at 25C
gaia-15,0.7,4,4,0.333333,density of honey at 25C,density of honey and mayonnaise,density of honey and mayonnaise,density of honey at 25C
gaia-15,1.0,4,4,0.667659,density of honey at 25 degrees Celsius,densities of honey and mayonnaise site:ck12.org,density of honey and mayonnaise at 25C,density of honey at 25C
gaia-15,1.5,4,4,0.300000,density of honey and mayonnaise site:libretexts.org,density of honey at 25C,density of honey at 25C,density of honey at 25C
gaia-15,2.0,4,0,,,,,
gaia-150,0.0,4,4,0.121212,H. pylori acne vulgaris clinical trial enrollment count Jan-May 2018 site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count Jan-May 2018 site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count site:clinicaltrials.gov
gaia-150,0.3,4,4,0.121212,H. pylori acne vulgaris clinical trial enrollment count site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count Jan-May 2018 site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count Jan-May 2018 site:clinicaltrials.gov
gaia-150,0.7,4,4,0.302808,H. pylori acne vulgaris clinical trial enrollment count NIH January May 2018,H. pylori acne vulgaris clinical trial enrollment count NIH January May 2018,H. pylori acne vulgaris clinical trial enrollment count Jan-May 2018 site:clinicaltrials.gov,clinical trial H. pylori acne vulgaris enrollment count site:nih.gov
gaia-150,1.0,4,4,0.324267,H. pylori acne vulgaris clinical trial enrollment count January May 2018 site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count January May 2018 site:nih.gov,actual enrollment count of clinical trial on H. pylori in acne vulgaris patients site:nih.gov
gaia-150,1.5,4,4,0.198413,H. pylori clinical trial acne vulgaris enrollment count Jan-May 2018 site:nih.gov,actual enrollment count of clinical trial on H. pylori in acne vulgaris patients jan-may 2018 site:clinicaltrials.gov,H. pylori acne vulgaris clinical trial enrollment count NIH Jan-May 2018,clinical trial H. pylori acne vulgaris enrollment count NIH Jan-May 2018
gaia-150,2.0,4,0,,,,,
gaia-151,0.0,4,4,0.071429,number of unique winners of American Survivor up to season 44,number of unique winners of Survivor up to season 44,number of unique winners of Survivor up to season 44,number of unique winners of Survivor up to season 44
gaia-151,0.3,4,4,0.250000,number of unique winners of Survivor up to season 44,number of unique winners of Survivor and American Idol,number of unique winners of Survivor up to season 44,number of unique winners of Survivor up to season 44
gaia-151,0.7,4,4,0.214286,total unique winners of American Survivor as of season 44,number of unique winners of Survivor up to season 44,number of unique winners of Survivor up to season 44,number of unique winners of American Survivor up to season 44
gaia-151,1.0,4,4,0.508333,number of unique winners of Survivor American Idol,number of unique winners in American Survivor as of season 44,"""list of Survivor winners including season 44""",number of unique winners of Survivor and American Idol
gaia-151,1.5,4,4,0.517526,number of unique winners American Survivor as of season 44,number of winners of Survivor up to season 44,total unique winners of Survivor and American Idol,number of unique winners of Survivor American Idol 2023
gaia-151,2.0,4,0,,,,,
gaia-152,0.0,4,4,0.000000,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location
gaia-152,0.3,4,4,0.000000,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location
gaia-152,0.7,4,4,0.214815,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposit location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition city,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location
gaia-152,1.0,4,4,0.171296,Nedoshivina 2010 Vietnamese specimens Kuznetzov deposition city,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition city,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition city
gaia-152,1.5,4,4,0.338384,Kuznetzov Vietnamese specimens Nedoshivina 2010 paper specimen deposition,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposit city name,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition site,Vietnamese specimens Kuznetzov Nedoshivina 2010 paper deposition location
gaia-152,2.0,4,0,,,,,
gaia-153,0.0,4,4,0.357143,colors of a standard Rubik's cube and their arrangements,colors of a standard Rubik's cube and their arrangements,Rubik's cube color distribution,colors of a standard Rubik's cube and their arrangements
gaia-153,0.3,4,3,0.527778,colors of a standard Rubik's cube and their arrangement,standard Rubik's cube color arrangement,,Rubik's cube color combinations and face colors
gaia-153,0.7,4,3,0.527778,Rubik's cube color arrangement and cube types,,Rubik's cube color configuration and cube types,Rubik's cube color configurations and face relationships
gaia-153,1.0,4,4,0.745238,properties of a standard Rubik’s cube cubes colors and arrangements,standard Rubik's Cube color layout,Rubik's cube color distribution and properties,Rubik’s cube color arrangement and relationships
gaia-153,1.5,4,2,0.666667,,,standard colors of a Rubik's cube and their adjacent relations,Rubik's cube colors and pieces arrangement rules
gaia-153,2.0,4,0,,,,,
gaia-154,0.0,4,4,0.000000,1928 Summer Olympics number of athletes by country,number of athletes by country 1928 Summer Olympics,1928 Summer Olympics number of athletes by country,number of athletes by country 1928 Summer Olympics
gaia-154,0.3,4,4,0.142857,number of athletes by country 1928 Summer Olympics,1928 Summer Olympics number of athletes by country,country with least athletes 1928 Summer Olympics,1928 Summer Olympics number of athletes by country
gaia-154,0.7,4,4,0.421164,1928 Summer Olympics participating countries and athlete counts,1928 Summer Olympics number of athletes by country,1928 Summer Olympics number of athletes by country,1928 Summer Olympics countries and number of athletes
gaia-154,1.0,4,4,0.198413,country with least athletes at 1928 Summer Olympics,number of athletes by country 1928 Summer Olympics,1928 Summer Olympics athletes by country,least number of athletes country 1928 Summer Olympics
gaia-154,1.5,4,4,0.407407,country least athletes 1928 Summer Olympics,1928 Summer Olympics participation by country and number of athletes,1928 Summer Olympics countries participating number of athletes,1928 Summer Olympics number of athletes per country
gaia-154,2.0,4,1,,,country with least athletes 1928 Summer Olympics,,
gaia-155,0.0,4,4,0.125000,multiwavelength observations of fast radio bursts site:arxiv.org,multiwavelength observations of fast radio bursts site:arxiv.org,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts site:arxiv.org
gaia-155,0.3,4,4,0.000000,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts site:arxiv.org March 2021,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org
gaia-155,0.7,4,4,0.111111,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts March 2021 Arxiv,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org
gaia-155,1.0,4,4,0.266667,fast radio bursts multiwavelength observations Arxiv March 2021 paper,multiwavelength observations fast radio bursts site:arxiv.org March 2021,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts site:arxiv.org
gaia-155,1.5,4,4,0.218254,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org,multiwavelength observations of fast radio bursts site:arxiv.org,recent multiwavelength observations of fast radio bursts site:arxiv.org,multiwavelength observations of fast radio bursts March 2021 site:arxiv.org
gaia-155,2.0,4,0,,,,,
gaia-156,0.0,4,4,0.357804,Taishō Tamai baseball statistics July 2023,Taishō Tamai pitching statistics July 2023 rankings,Taishō Tamai pitching statistics July 2023 rankings,Taishō Tamai baseball ranking July 2023
gaia-156,0.3,4,4,0.342923,Taishō Tamai pitcher ranking July 2023,Taishō Tamai pitcher rankings July 2023,Taishō Tamai pitcher rankings July 2023,Taishō Tamai ranking July 2023 pitchers list
gaia-156,0.7,4,4,0.305556,Taishō Tamai pitcher statistics July 2023,Taishō Tamai pitching statistics July 2023,Taishō Tamai pitcher rankings July 2023,Taishō Tamai statistics July 2023
gaia-156,1.0,4,4,0.524074,Taishō Tamai number ranking as of July 2023,Taishō Tamai jersey number and pitchers surrounding it July 2023,Taishō Tamai pitching statistics July 2023,Taishō Tamai pitcher rankings July 2023
gaia-156,1.5,4,4,0.566071,pitchers before and after Taishō Tamai July 2023,pitchers numbered before and after Taishō Tamai July 2023,Taishō Tamai pitching stats 2023,2023 pitcher statistics Tamai Taishō number rankings
gaia-156,2.0,4,0,,,,,
gaia-158,0.0,4,4,0.362771,Malko Competition recipients 20th Century after 1977,Malko Competition recipients 20th Century after 1977 nationality country no longer exists,Malko Competition recipients 20th Century after 1977 nationality country no longer exists,Malko Competition winners 20th Century after 1977
gaia-158,0.3,4,4,0.200000,Malko Competition recipients 20th Century after 1977,Malko Competition recipients 20th Century after 1977 nationality country no longer exists,Malko Competition recipients 20th Century after 1977,Malko Competition recipients 20th Century after 1977
gaia-158,0.7,4,4,0.571338,Malko Competition recipients 20th Century after 1977 nationality country no longer exists,Malko Competition recipients list after 1977,Malko Competition recipients 20th Century nationality no longer exists,Malko Competition winners list 20th century
gaia-158,1.0,4,4,0.580303,Malko Competition recipients after 1977 nationality country no longer exists,Malko Competition recipients 20th century nationality country no longer exists,Malko Competition winners 20th Century after 1977,Malko Competition winners after 1977
gaia-158,1.5,4,4,0.547186,Malko Competition recipients list after 1977,Malko Competition recipients 20th Century 1977,Malko Competition winners list 20th Century nationality 1977 onwards,list of Malko Competition winners 20th century post-1977 nationalities
gaia-158,2.0,4,0,,,,,
gaia-16,0.0,4,4,0.000000,"volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"""
gaia-16,0.3,4,4,0.000000,"volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"" volume of fish bag"
gaia-16,0.7,4,4,0.035714,"volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"" volume of fish bag m^3"
gaia-16,1.0,4,4,0.214286,"volume of fish bag in University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet""","volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""",volume of fish bag University of Leicester Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet,"volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"""
gaia-16,1.5,4,4,0.450198,"calculate volume of fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""","volume of fish bag in ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"" University of Leicester paper",volume of fish bag calculator site:leicester.ac.uk,"volume m^3 fish bag University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?"""
gaia-16,2.0,4,0,,,,,
gaia-162,0.0,4,4,0.000000,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023
gaia-162,0.3,4,4,0.060606,MBTA Franklin-Foxboro line stops between South Station and Windsor Gardens May 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,MBTA Franklin-Foxboro line stops between South Station and Windsor Gardens May 2023
gaia-162,0.7,4,4,0.045455,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,number of stops between South Station and Windsor Gardens on MBTA Franklin-Foxboro line May 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,MBTA Franklin-Foxboro line stops between South Station and Windsor Gardens May 2023
gaia-162,1.0,4,4,0.045455,number of stops between South Station and Windsor Gardens on MBTA Franklin-Foxboro line May 2023,MBTA Franklin-Foxboro line stops South Station to Windsor Gardens May 2023,MBTA Franklin-Foxboro line stops between South Station and Windsor Gardens May 2023,MBTA Franklin-Foxboro line stops between South Station and Windsor Gardens May 2023
gaia-162,1.5,4,4,0.291903,number of stops between South Station and Windsor Gardens on MBTA's Franklin-Foxboro line May 2023,MBTA Franklin-Foxboro line stops between South Station and Windsor Gardens 2023,number of stops between South Station and Windsor Gardens MBTA Franklin-Foxboro line May 2023,MBTA Franklin Foxboro line stops South Station to Windsor Gardens May 2023
gaia-162,2.0,4,1,,,,,number of stops heading towards south station to windsor gardens Franklin-Foxboro Line MBTA
gaia-19,0.0,4,4,0.000000,"authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015"
gaia-19,0.3,4,4,0.000000,"authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015"
gaia-19,0.7,4,4,0.000000,"authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015"
gaia-19,1.0,4,4,0.310256,"authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","Pie Menus or Linear Menus, Which Is Better? 2015 paper authors and their previous works","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015 and their prior works","""Pie Menus or Linear Menus, Which Is Better?"" 2015 paper authors"
gaia-19,1.5,4,4,0.000000,"authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015","authors of the paper ""Pie Menus or Linear Menus, Which Is Better?"" 2015"
gaia-19,2.0,4,0,,,,,
gaia-2,0.0,4,4,0.000000,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020
gaia-2,0.3,4,4,0.000000,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020
gaia-2,0.7,4,4,0.000000,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020
gaia-2,1.0,4,4,0.083333,number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020,total number of articles published by Nature in 2020
gaia-2,1.5,4,3,0.746032,how many papers published by Nature in 2020,number of articles published by Nature in 2020,,How many articles did Nature publish in 2020? What is a p-value under parallel statistics errors?
gaia-2,2.0,4,0,,,,,
gaia-22,0.0,4,4,0.125000,Doctor Who Series 9 Episode 11 script,Doctor Who Series 9 Episode 11 script location name,Doctor Who Series 9 Episode 11 script,Doctor Who Series 9 Episode 11 script
gaia-22,0.3,4,4,0.125000,Doctor Who Series 9 Episode 11 script location name,Doctor Who Series 9 Episode 11 script location name,Doctor Who Series 9 Episode 11 script,Doctor Who Series 9 Episode 11 script location name
gaia-22,0.7,4,4,0.166667,Doctor Who Series 9 Episode 11 script location name,Doctor Who Series 9 Episode 11 script,Doctor Who Series 9 Episode 11 script,Doctor Who Series 9 Episode 11 script location name
gaia-22,1.0,4,4,0.186508,Doctor Who Series 9 Episode 11 script,Doctor Who Series 9 Episode 11 script location name,Doctor Who Series 9 Episode 11 script,doctor who series 9 episode 11 official script
gaia-22,1.5,4,4,0.327146,Doctor Who Series 9 Episode 11 script location,Doctor Who Series 9 Episode 11 script location name,Doctor Who Series 9 Episode 11 official script setting scene heading,Doctor Who Series 9 Episode 11 official script
gaia-22,2.0,4,0,,,,,
gaia-23,0.0,4,4,0.000000,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities of ASEAN countries
gaia-23,0.3,4,4,0.000000,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities of ASEAN countries
gaia-23,0.7,4,4,0.000000,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities in ASEAN countries,geographical distance between capital cities in ASEAN countries,geographical distance between capital cities of ASEAN countries
gaia-23,1.0,4,4,0.277778,geographical distance between capital cities of ASEAN countries,furthest apart capital cities ASEAN countries site:wikipedia.org,geographical distance between capital cities of ASEAN countries,geographical distance between capital cities in ASEAN countries
